epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.215,5.01751,16.3105,3.00212,0,0,0,0,5.02404,22.5547,2.86671,0.000246667,0.000246667,0.000246667
2,271.018,3.65552,2.65997,2.107,0.31891,0.0686,0.03341,0.00872,3.14119,2.57852,1.63901,0.00049175,0.00049175,0.00049175
3,523.104,3.09525,1.95492,1.58595,0.62782,0.12285,0.12015,0.03391,2.82916,1.86546,1.40983,0.000731883,0.000731883,0.000731883
4,698.965,3.02504,1.87674,1.52299,0.01096,0.08924,0.00743,0.00253,2.32118,inf,1.17903,0.000967066,0.000967066,0.000967066
5,866.082,2.89257,1.74787,1.41838,0.05348,0.08042,0.02785,0.00691,3.4271,43.8402,1.57292,0.0011973,0.0011973,0.0011973
6,1046.31,2.73463,1.78263,1.34957,0.12426,0.16238,0.12551,0.04304,2.29432,5.3774,1.19764,0.00118812,0.00118812,0.00118812
7,1251.06,2.65072,1.65888,1.28916,0.43111,0.1832,0.19331,0.06911,2.2593,1.33276,1.14511,0.00117575,0.00117575,0.00117575
8,1429.46,2.47975,1.60185,1.26784,0.64661,0.1647,0.16994,0.0648,2.18588,1.40893,1.13567,0.00116337,0.00116337,0.00116337
9,1648.98,2.46,1.52838,1.18231,0.16829,0.17831,0.18179,0.07007,2.22106,1.44153,1.14527,0.001151,0.001151,0.001151
10,1838.11,2.2843,1.44177,1.15678,0.16918,0.1796,0.19789,0.08429,2.03464,1.33032,1.08435,0.00113863,0.00113863,0.00113863
11,2003.57,2.36189,1.46914,1.1997,0.14891,0.17857,0.16997,0.05448,2.37596,1.36218,1.18623,0.00112625,0.00112625,0.00112625
12,2214.73,2.42647,1.45624,1.17493,0.14014,0.18551,0.14897,0.05886,2.08163,6.38929,1.07495,0.00111388,0.00111388,0.00111388
13,2436.56,2.09698,1.34279,1.13746,0.18538,0.19733,0.20753,0.09019,1.89597,1.56766,1.06283,0.0011015,0.0011015,0.0011015
14,2630.2,2.10076,1.31751,1.09906,0.43568,0.19506,0.21439,0.09452,1.88932,1.31607,1.03425,0.00108913,0.00108913,0.00108913
15,2807.22,2.08784,1.29269,1.05704,0.19183,0.24773,0.22094,0.09772,1.86919,1.20918,1.03662,0.00107675,0.00107675,0.00107675
16,2968.3,2.07691,1.29962,1.07945,0.17925,0.1927,0.22473,0.0884,1.97579,1.35074,1.03634,0.00106437,0.00106437,0.00106437
17,3123.39,2.07393,1.27277,1.06526,0.19571,0.19889,0.23237,0.10832,1.8181,1.42964,1.00857,0.001052,0.001052,0.001052
18,3281.17,1.96725,1.22794,1.05161,0.20331,0.20606,0.24296,0.11708,1.76669,1.27863,0.99671,0.00103962,0.00103962,0.00103962
19,3439.16,1.94564,1.23915,1.03556,0.17454,0.23857,0.22058,0.09879,1.8851,1.84933,1.02967,0.00102725,0.00102725,0.00102725
20,3604.32,1.97196,1.19943,1.0462,0.18812,0.19217,0.22794,0.09841,1.84636,1.28559,1.02242,0.00101488,0.00101488,0.00101488
21,3791.72,1.92775,1.21796,1.04297,0.20332,0.25705,0.24667,0.12603,1.61956,1.15218,0.97382,0.0010025,0.0010025,0.0010025
22,3986.28,1.9646,1.17442,1.02492,0.16371,0.25227,0.24029,0.11709,1.716,1.24194,1.00945,0.000990125,0.000990125,0.000990125
23,4164.13,1.83163,1.15545,1.02157,0.16892,0.24447,0.19961,0.10301,1.64008,4.09915,0.97308,0.00097775,0.00097775,0.00097775
24,4328.57,1.8376,1.15614,0.99656,0.17118,0.2886,0.23579,0.11548,1.64452,1.93673,0.97573,0.000965375,0.000965375,0.000965375
25,4497.23,1.77724,1.12341,1.01436,0.54621,0.2609,0.27097,0.13277,1.65305,1.02983,0.9761,0.000953,0.000953,0.000953
26,4667.01,1.84487,1.1262,0.99703,0.17692,0.3033,0.24192,0.12315,1.66521,2.84636,0.96558,0.000940625,0.000940625,0.000940625
27,4829.56,1.76372,1.08819,1.00087,0.2133,0.34287,0.2444,0.12653,1.55821,1.69759,0.95421,0.00092825,0.00092825,0.00092825
28,5017.15,1.74931,1.06963,0.97887,0.17288,0.30211,0.23249,0.11984,1.53061,2.82737,0.96474,0.000915875,0.000915875,0.000915875
29,5212.09,1.70586,1.05314,0.96805,0.22191,0.33363,0.24798,0.13,1.48475,1.63469,0.95049,0.0009035,0.0009035,0.0009035
30,5405.93,1.66054,1.06076,0.96988,0.53689,0.32452,0.31835,0.16703,1.45621,0.92823,0.94035,0.000891125,0.000891125,0.000891125
31,5600.39,1.7378,1.04131,0.9835,0.25229,0.38149,0.28591,0.1141,1.88242,1.14382,0.97007,0.00087875,0.00087875,0.00087875
32,5781.2,1.8165,1.08195,0.96971,0.2026,0.35972,0.25379,0.12705,1.55449,2.37217,0.94106,0.000866375,0.000866375,0.000866375
33,5948.74,1.71065,1.05585,0.96661,0.20727,0.36621,0.24173,0.125,1.49371,5.15141,0.94085,0.000854,0.000854,0.000854
34,6116.87,1.60647,0.98642,0.95655,0.2469,0.44518,0.25901,0.14252,1.41636,3.68055,0.93311,0.000841625,0.000841625,0.000841625
35,6287.97,1.68944,1.02188,0.96431,0.26513,0.41777,0.26887,0.14134,1.5341,2.87418,0.94196,0.00082925,0.00082925,0.00082925
36,6445.49,1.65885,1.01945,0.95427,0.29658,0.3986,0.32191,0.1679,1.43824,0.95061,0.9324,0.000816875,0.000816875,0.000816875
37,6604.48,1.59601,0.99806,0.95564,0.36275,0.42162,0.38211,0.20567,1.38508,0.87807,0.9209,0.0008045,0.0008045,0.0008045
38,6759.63,1.58695,0.98718,0.95921,0.26691,0.41624,0.29662,0.15191,1.44246,1.49648,0.9302,0.000792125,0.000792125,0.000792125
39,6916.81,1.65373,0.96688,0.94458,0.31599,0.45937,0.32459,0.17228,1.41535,1.56804,0.91765,0.00077975,0.00077975,0.00077975
40,7075.39,1.58143,0.92985,0.93864,0.35929,0.47234,0.36246,0.20381,1.31546,1.18478,0.90902,0.000767375,0.000767375,0.000767375
41,7242.47,1.54057,0.91495,0.93831,0.33954,0.46583,0.3321,0.18161,1.38567,4.81545,0.92618,0.000755,0.000755,0.000755
42,7393.82,1.66477,0.98785,0.95835,0.55047,0.4494,0.47868,0.20156,1.82323,0.92221,0.98401,0.000742625,0.000742625,0.000742625
43,7542.37,1.75115,1.02924,0.96182,0.23853,0.50391,0.24653,0.11464,1.65754,7.75146,0.95395,0.00073025,0.00073025,0.00073025
44,7688.63,1.59069,0.93706,0.9439,0.3078,0.48329,0.33385,0.16938,1.43952,1.26597,0.91831,0.000717875,0.000717875,0.000717875
45,7833.96,1.59471,0.92265,0.93205,0.45999,0.48919,0.47794,0.24529,1.36733,0.82261,0.91677,0.0007055,0.0007055,0.0007055
46,7980.01,1.56269,0.89026,0.92266,0.72999,0.50595,0.52506,0.26989,1.45073,0.77931,0.90818,0.000693125,0.000693125,0.000693125
47,8124.77,1.52326,0.87515,0.92765,0.7366,0.48024,0.52141,0.28517,1.33308,0.76577,0.90904,0.00068075,0.00068075,0.00068075
48,8269.59,1.52919,0.89241,0.92267,0.3884,0.49568,0.38763,0.21588,1.31374,1.82689,0.89929,0.000668375,0.000668375,0.000668375
49,8413.44,1.46521,0.82396,0.91878,0.28245,0.55971,0.29451,0.16717,1.32123,3.54911,0.89975,0.000656,0.000656,0.000656
50,8556.21,1.48337,0.85828,0.92756,0.30248,0.52589,0.31369,0.17704,1.31915,3.13536,0.90141,0.000643625,0.000643625,0.000643625
51,8698.9,1.52706,0.84184,0.91908,0.50177,0.51506,0.49521,0.28028,1.29354,0.82692,0.90271,0.00063125,0.00063125,0.00063125
52,8842.36,1.47864,0.83869,0.91981,0.39828,0.5008,0.40075,0.22289,1.30758,1.48869,0.89517,0.000618875,0.000618875,0.000618875
53,8984.01,1.44312,0.80194,0.90851,0.61457,0.51588,0.56355,0.31485,1.26525,0.68829,0.89465,0.0006065,0.0006065,0.0006065
54,9126.32,1.40592,0.78723,0.9044,0.7837,0.50661,0.58005,0.31149,1.28717,0.6793,0.89711,0.000594125,0.000594125,0.000594125
55,9267.48,1.39833,0.78672,0.91001,0.76744,0.5153,0.55073,0.28124,1.36976,0.71502,0.89908,0.00058175,0.00058175,0.00058175
56,9412.59,1.50837,0.83125,0.90259,0.56379,0.48318,0.57774,0.32733,1.26223,0.70059,0.8907,0.000569375,0.000569375,0.000569375
57,9560.49,1.43008,0.79582,0.8941,0.49804,0.51104,0.48962,0.28594,1.24741,0.79547,0.88427,0.000557,0.000557,0.000557
58,9710.25,1.43749,0.79091,0.91428,0.4214,0.54528,0.44439,0.23502,1.3918,1.7123,0.89879,0.000544625,0.000544625,0.000544625
59,9859.67,1.55456,0.84901,0.92035,0.37486,0.57096,0.38549,0.19966,1.49825,3.93933,0.91296,0.00053225,0.00053225,0.00053225
60,10008.4,1.5591,0.8609,0.92027,0.50143,0.52361,0.51148,0.27447,1.28356,1.15103,0.89286,0.000519875,0.000519875,0.000519875
61,10158,1.42017,0.80115,0.90005,0.5479,0.54859,0.59082,0.33187,1.24391,0.67343,0.89349,0.0005075,0.0005075,0.0005075
62,10311.3,1.46292,0.80062,0.91026,0.46034,0.51446,0.44805,0.23999,1.34316,0.95072,0.89287,0.000495125,0.000495125,0.000495125
63,10454.4,1.42979,0.77773,0.91452,0.63415,0.51436,0.58168,0.31455,1.29862,0.67313,0.89624,0.00048275,0.00048275,0.00048275
64,10602.1,1.41486,0.78312,0.90928,0.51236,0.57669,0.52688,0.28007,1.38945,0.97731,0.90777,0.000470375,0.000470375,0.000470375
65,10773.9,1.44569,0.77479,0.92003,0.44168,0.54435,0.46895,0.26453,1.24276,1.73317,0.89236,0.000458,0.000458,0.000458
66,10940.4,1.35754,0.75567,0.90084,0.54307,0.58478,0.58889,0.33622,1.18386,0.96072,0.88379,0.000445625,0.000445625,0.000445625
67,11106,1.33159,0.74556,0.8962,0.46264,0.57322,0.48382,0.27702,1.2195,1.44827,0.88316,0.00043325,0.00043325,0.00043325
68,11266.6,1.33705,0.74573,0.8962,0.65775,0.57328,0.63901,0.36458,1.20499,0.63674,0.8803,0.000420875,0.000420875,0.000420875
69,11421.1,1.34067,0.7506,0.89733,0.55492,0.53864,0.55487,0.32499,1.23066,0.81171,0.88092,0.0004085,0.0004085,0.0004085
70,11575.8,1.34739,0.72316,0.89406,0.45344,0.60629,0.48777,0.28779,1.17755,0.99891,0.87596,0.000396125,0.000396125,0.000396125
71,11723.9,1.27472,0.69381,0.88845,0.46844,0.63181,0.48352,0.2941,1.18271,1.52007,0.87705,0.00038375,0.00038375,0.00038375
72,11879.6,1.27654,0.70966,0.88626,0.58732,0.61593,0.60236,0.35443,1.17954,0.68324,0.87427,0.000371375,0.000371375,0.000371375
73,12030.7,1.28642,0.699,0.88838,0.80519,0.60457,0.67361,0.38511,1.21057,0.60845,0.87825,0.000359,0.000359,0.000359
74,12186.7,1.32804,0.71555,0.88947,0.81367,0.61785,0.65894,0.38202,1.18062,0.62071,0.87384,0.000346625,0.000346625,0.000346625
75,12339.4,1.28605,0.70488,0.88733,0.65296,0.63329,0.62497,0.36098,1.17529,0.64617,0.87882,0.00033425,0.00033425,0.00033425
76,12493.5,1.24189,0.68189,0.88396,0.62645,0.65263,0.62903,0.37113,1.17706,0.62076,0.87637,0.000321875,0.000321875,0.000321875
77,12641,1.29534,0.69488,0.88118,0.4754,0.60397,0.52825,0.31229,1.13608,1.06082,0.86966,0.0003095,0.0003095,0.0003095
78,12788.3,1.26317,0.68215,0.88556,0.49535,0.57677,0.50856,0.30935,1.12905,1.67007,0.86965,0.000297125,0.000297125,0.000297125
79,12944.5,1.26089,0.67264,0.87856,0.54802,0.57482,0.53077,0.3208,1.11748,1.26332,0.86871,0.00028475,0.00028475,0.00028475
80,13100,1.2834,0.68999,0.87861,0.517,0.60849,0.54575,0.3251,1.14268,0.99992,0.87457,0.000272375,0.000272375,0.000272375
81,13246,1.31041,0.69441,0.87783,0.62636,0.65199,0.61216,0.362,1.16869,0.74835,0.86969,0.00026,0.00026,0.00026
82,13445.6,1.28424,0.68098,0.87809,0.70827,0.64732,0.65332,0.38882,1.12154,0.57363,0.86651,0.000247625,0.000247625,0.000247625
83,13880.3,1.25338,0.65414,0.87452,0.7243,0.62619,0.66187,0.39427,1.1147,0.56723,0.86724,0.00023525,0.00023525,0.00023525
